# name	aliases	category	syntax	summary	description   (WRASM dialect — documented from our own source)
invoke		call	invoke Func, arg1, arg2, …	invoke — call a function with Win64 marshaling	Calls `Func` with the x64 calling convention generated for you: arguments go to `rcx`, `rdx`, `r8`, `r9` then the stack, 32 bytes of shadow space are reserved, and the stack stays 16-byte aligned. The signature comes from the Windows knowledge base. **`invoke` uses `rax`/`eax` as scratch to stage stack arguments — never pass an argument that lives in `rax`; route it through memory or another register. Float arguments need a `real4`/`real8` annotation (e.g. `invoke f, real8 [rip+x]`) so they marshal to `xmm`.** It lowers to visible instructions — inspect with `was … --emit-asm`.
comcall		com	comcall pObj, Method, arg1, …	comcall — call a COM method through its vtable	Calls `Method` on the COM object `pObj` via its vtable slot (the `this` pointer is passed first automatically), with the same Win64 marshaling as `invoke`. The slot and parameter types come from the knowledge base. **Prefer the typed sugar:** after `comobj p : ID3D11Device` write `p.CreateRenderTargetView(…)` instead of a raw `comcall`.
comobj		com	comobj NAME : Interface	comobj — declare a typed COM object pointer	Binds the local pointer `NAME` to a COM `Interface` so that `NAME.Method(args)` resolves the right vtable slot and parameter types. Pure compile-time type info — it emits no code itself.
iid		com	iid InterfaceName	iid — emit a COM interface GUID	Lays down the 16-byte IID (GUID) of `InterfaceName` as data, for passing to `CoCreateInstance`/`QueryInterface`. The GUID is looked up in the knowledge base.
sizeof		data	sizeof(Type)	sizeof — byte size of a type or struct	Resolves at assemble time to the size in bytes of a Windows struct or type, e.g. `sub rsp, sizeof(RECT)`. Field byte offsets use the separate `Struct.field` form.
proc	endproc	control-flow	proc NAME uses r… in … out … [frame] … endproc	proc/endproc — a checked subroutine convention	Declares a subroutine with a **visible** prologue/epilogue and a checked contract. `uses r12 r13` saves/restores those callee-saved registers; `in`/`out` declare the registers consumed/produced; `frame` reserves the shadow space and alignment **once** so the calls inside go lean. The contract is enforced: a callee-saved register clobbered across a call, an `in`/`out` mismatch, or a stack left off the aligned frame is flagged. **A `proc` that contains `invoke`/`call` must declare `frame`; inside a `frame` proc don't `sub rsp` by hand — use a memory slot or `xmm0–5`. A plain `proc`'s `uses` tracks GP registers only; to preserve the callee-saved vector registers xmm6..xmm15, use `fproc`.**
fproc	endproc	control-flow	fproc NAME uses r… xmm… in … out … [frame] … endproc	fproc/endproc — a proc that preserves vector registers too	Like `proc`/`endproc`, but its `uses` may also list the callee-saved vector registers xmm6..xmm15 (ymm/zmm alias the same xmm). The prologue reserves a stack slot and `movups`-saves each; the epilogue reloads them — so float code can keep loop-invariant state in xmm6+ across calls and still honor the Win64 ABI for its own caller. The contract is checked the same way: an xmm clobbered but not in `uses` is flagged — an error in an `fproc` (just add it to `uses`), a warning in a plain `proc` (which cannot save xmm). Reach for `fproc` whenever a subroutine writes xmm6..xmm15.
struct	ends	data	struct LABEL TYPE … ends	struct/ends — lay out a struct instance	Reserves and initialises an instance of a Windows struct `TYPE` named `LABEL`, placing fields at the database's byte offsets (`BufferDesc.Width = 1280`). `ends` closes it. Read fields elsewhere with `LABEL.field` / `TYPE.field`.
byte	word dword qword wchar sbyte	data	name BYTE v[, v…]   ·   buf BYTE 64 dup(0)	BYTE/WORD/DWORD/QWORD — declare data	MASM-style data declarations: `name BYTE 1,2,3`, `msg BYTE "hi",0`, `buf BYTE 64 dup(0)`. `WORD`/`DWORD`/`QWORD` are 2/4/8 bytes; `WCHAR` is a 16-bit UTF-16 unit. **A `dup` count must be a literal (`BYTE 64 dup(0)`, not `BYTE 8*8 dup(0)`).** A bare `','` char literal trips the lexer — use the ASCII number `44` instead.
real4	real8	data	x real8 440.0	real4/real8 — declare a float constant	Stores an IEEE-754 single (`real4`, 4 bytes) or double (`real8`, 8 bytes) from a decimal literal — `freq real8 440.0` lays down the exact bit pattern. Pair it with `invoke`'s `real8 […]` argument annotation to pass a float in `xmm`.
.asciistring	.endasciistring .widestring .endwidestring	data	.ASCIISTRING … .ENDASCIISTRING	ASCIISTRING/WIDESTRING — embed a raw text block	Emits everything between the markers verbatim as bytes — for embedding an HLSL shader or other multi-line text without escaping. `.WIDESTRING … .ENDWIDESTRING` emits the same as UTF-16.
