# mnemonic	aliases	category	flags	summary	description   (clean-room from Intel SDM Vol 2, adversarially verified)
add		arithmetic	OF SF ZF AF CF PF	add — dst = dst + src, sets arithmetic flags	Adds the source operand into the destination (`dst = dst + src`) and writes the sum back to the destination, which may be a register or memory; the source can be an immediate, register, or memory. The result is valid for both signed and unsigned interpretations at once — `CF` flags an unsigned carry while `OF` flags a signed overflow. A small immediate is sign-extended to the operand width before the addition, so adding `imm8` like `-1` to a 64-bit register works as expected. **Unlike `inc`/`dec`, which leave `CF` alone, `add` updates `CF` — so use `add reg, 1` instead of `inc` when you need the carry flag, and remember only one operand may be memory.**
mov		data	none	mov — copy a value into a register or memory	Copies the source operand into the destination, where the source may be an immediate, a register, or a memory location, and the destination may be a register or memory. Both operands must be the same width (byte, word, dword, or qword), and you cannot move memory directly to memory — route it through a register. **`mov` never touches the flags**, so it is safe to place between a `cmp`/`test` and the conditional jump or `setcc` that consumes those flags. Two more gotchas: writing a 32-bit register zero-extends and clears the upper 32 bits of the 64-bit register (e.g. `mov eax, 1` also zeroes `rax`), while writing an 8- or 16-bit register leaves the high bits intact; and a full 64-bit immediate can only be loaded with `mov r64, imm64` — feeding a 64-bit destination a 32-bit immediate (the `r/m64, imm32` form) sign-extends it to 64 bits.
lea		data	none	lea — compute an address operand into a register	Evaluates the addressing expression of the memory source (base + index*scale + displacement) and writes the resulting address into the destination register `r16`/`r32`/`r64` — it never touches the memory at that address, only the math. Because of this it doubles as a fast arithmetic trick: `lea rax, [rbx + rcx*4 + 8]` does a multiply-and-add in one shot without spending a `mul` or several `add` instructions. **`lea` leaves all flags untouched**, so unlike `add`/`shl` you can't branch on its result — and using it for arithmetic deliberately preserves the flag state you set up earlier. Note that a 32-bit destination zero-extends into the full 64-bit register, so `lea eax, [...]` clears the top half of `rax`.
cmp		arithmetic	OF SF ZF AF CF PF	cmp — subtract operands, set flags, discard result	Computes `dest - src` purely to set the flags, then throws the difference away — both operands are left unchanged. An immediate source is sign-extended to the width of the first operand before the subtraction, so the flags reflect a same-size comparison. **The flags only mean what you expect for the matching jump family: after comparing values you treat as unsigned use `ja`/`jb`/`jae`/`jbe` (which read `CF` and `ZF`), and after signed values use `jg`/`jl`/`jge`/`jle` (which read `SF`, `OF`, and `ZF`) — mixing the two families is the classic post-`cmp` branch bug.** Mind the operand order too: `cmp rax, rbx` followed by `ja` jumps when `rax > rbx`, not the reverse.
imul		arithmetic	OF SF ZF AF CF PF	imul — signed integer multiply, 1/2/3 operand forms	Multiplies signed integers. The one-operand form (`imul r/m`) multiplies the implicit accumulator (`al`/`ax`/`eax`/`rax`) and writes the full double-width product to `ax`, `dx:ax`, `edx:eax`, or `rdx:rax`. The two-operand (`imul dst, src`) and three-operand (`imul dst, src, imm`) forms keep only the low half in `dst`, so they slot into ordinary register math. **`CF` and `OF` are set when significant bits are lost — for the one-operand form that means the product didn't fit the low half, for the others that the truncated result no longer matches the full product. `SF`, `ZF`, `AF`, and `PF` are left undefined, so never branch on them after `imul`.** Only the one-operand form clobbers the implicit upper register; the two- and three-operand forms touch no extra register, and because the low half is identical for signed and unsigned inputs they double as unsigned low-half multiplies (though `CF`/`OF` then tell you nothing useful).
idiv		arithmetic	OF SF ZF AF CF PF	idiv — signed divide rdx:rax by r/m, quotient+remainder	Signed integer division with an implicit double-width dividend: the `r/m64` operand divides `rdx:rax`, leaving the quotient in `rax` and the remainder in `rdx` (and correspondingly `edx:eax`, `dx:ax`, or `ax` for the 32/16/8-bit forms). Results truncate toward zero, and a zero divisor or a quotient that won't fit the destination raises a #DE fault instead of setting a flag. **You must sign-extend the dividend into the high register first — use `cqo`/`cdq`/`cwd` (or `cbw` for the byte form), never just `xor rdx, rdx`, since zeroing `rdx` is the unsigned `div` idiom and gives wrong results for negative values.** All six status flags (`CF OF SF ZF AF PF`) are left undefined, so don't branch on them after an `idiv`.
shl	sal	shift	CF OF SF ZF PF AF	shl — shift bits left, low bits zero-filled, CF gets last bit out	Shifts the destination left by the count operand, zero-filling vacated low bits and pushing high bits out one at a time through `CF` — each step is a multiply by two. The destination is an `r/m8`/`16`/`32`/`64`; the count is an immediate or, for a variable shift, the `cl` register. `shl` and `sal` are the very same instruction. **The count is masked to 5 bits (6 for a 64-bit operand), so `shl eax, 32` masks to 0 and leaves `eax` untouched instead of zeroing it — only 0-31 (or 0-63) behave as written.** Two further traps: `CF` is left *undefined* once the count reaches or exceeds the operand width (e.g. `shl al, 16`, still a legal masked count), and a count of 0 touches no flags at all. `OF` is meaningful only on a 1-bit shift (it flags a sign change in the top bit); `AF` is undefined for any non-zero count.
push		stack	none	push — decrement rsp, store source on top of stack	Subtracts from `rsp` (8 bytes in 64-bit mode) and writes the source operand to the new top of the stack. The source can be a register, a memory location, or an immediate; a small immediate is sign-extended to the operand size before being stored. In 64-bit mode the push width is 8 bytes by default — `push r32` is not encodable, so you always push the full 64-bit register even if you only care about the low dword. **`push` touches no flags at all, so a `cmp`/`test` result survives across it** — handy for saving registers in the middle of a conditional. One semantic quirk: `push rsp` stores the value of `rsp` as it was *before* the decrement, not after. Watch the alignment gotcha too: the x64 ABI wants `rsp` 16-byte aligned at a `call`, so an odd number of pushes before calling leaves the stack misaligned and can crash callees that use aligned SSE moves.
call		control-flow	none	call — push return address and jump to a procedure	Pushes the address of the following instruction onto the stack as a return pointer, then transfers control to the target, which can be a relative label, a register, or a memory operand. A matching `ret` later pops that saved address to resume right after the `call`. In 64-bit mode a near call always pushes the full 8-byte `rip` and the operand size is forced to 64 bits, so an indirect `call r/m64` jumps to the whole register, never a truncated 32-bit value. **A near `call` leaves every status flag untouched, so a `cmp`/`test` result set before the call is still valid for a `jcc` after it returns — but remember the callee may clobber those flags, so do not rely on them surviving a call unless you control the callee.**
ret		control-flow	none	ret — pop return address and resume at the caller	Pops the return address off the top of the stack and jumps to it, handing control back to whatever `call` got you here. In 64-bit mode the popped address is a full 64-bit `rip` and `rsp` moves up by 8. The optional `imm16` form (`ret 16`) adds that many extra bytes to the stack pointer *after* popping the address, which is how callee-cleanup conventions discard stack-passed arguments.  **`ret` leaves every flag untouched, so a `cmp` or `test` result set inside your function survives the return** and can be branched on by the caller. A common pitfall is mismatching the stack: if you pushed without popping (or vice versa), `rsp` won't point at the return address and `ret` will jump to garbage. With `ret imm16`, the immediate must match the bytes the caller expected to be cleaned up, or both sides corrupt the stack.
